Marca,Título do Produto,URL do Produto,Descrição HTML,Tags,Título da Variante,SKU,Preço (€),Caminhos das Imagens Locais
CLEW,CLEW Spearmint 10mg,https://snusmart.com/products/clew-spearmint-10mg,,"MEDIUM, MINT",Default Title,8906181780316,3.69,/home/ubuntu/snusmart_data/images/clew-spearmint-10mg_77537826898246.jpg
CLEW,CLEW Watermelon 10mg,https://snusmart.com/products/clew-watermelon-10mg,,"MEDIUM, WATERMELON",Default Title,8906181780347,3.69,/home/ubuntu/snusmart_data/images/clew-watermelon-10mg_77537789247814.jpg
CLEW,CLEW Wintergreen 20mg,https://snusmart.com/products/clew-wintergreen-20mg,,"MINT, STRONG",Default Title,8906181782570,3.69,/home/ubuntu/snusmart_data/images/clew-wintergreen-20mg_77537944404294.jpg
CLEW,CLEW Spearmint 20mg,https://snusmart.com/products/clew-spearmint-20mg,,"MINT, STRONG",Default Title,8906181780330,3.69,/home/ubuntu/snusmart_data/images/clew-spearmint-20mg_77800507736390.jpg
CUBA,CUBA BLACK COLA 66MG,https://snusmart.com/products/cuba-black-cola,,"COLA, EXTREMELY STRONG",Default Title,5904717759419,3.79,/home/ubuntu/snusmart_data/images/cuba-black-cola_77537338163526.jpg
CUBA,CUBA BLACK CHERRY 66MG,https://snusmart.com/products/cuba-black-cherry,,"BERRIES, cherry, EXTREMELY STRONG, FRUITS",Default Title,5904316128197,3.79,/home/ubuntu/snusmart_data/images/cuba-black-cherry_77537469563206.jpg
CUBA,CUBA NINJA ENERGY 30MG,https://snusmart.com/products/cuba-ninja-energy,,"ENERYDRINK, STRONG",Default Title,5904717759112,3.69,/home/ubuntu/snusmart_data/images/cuba-ninja-energy_77536220021062.jpg
CUBA,CUBA BLACK APPLE JUICE 66MG,https://snusmart.com/products/cuba-black-apple-juice,,"APPLE, EXTREMELY STRONG",Default Title,5905753347448,3.79,/home/ubuntu/snusmart_data/images/cuba-black-apple-juice_77537199882566.jpg
CUBA,CUBA BLACK PEACH 66MG,https://snusmart.com/products/cuba-black-peach,,"EXTREMELY STRONG, FRUITS",Default Title,5905753347240,3.79,/home/ubuntu/snusmart_data/images/cuba-black-peach_77535990579526.jpg
CUBA,CUBA BLACK FOREST BERRIES 66MG,https://snusmart.com/products/cuba-black-forest-berries,,"BERRIES, EXTREMELY STRONG",Default Title,5904717759457,3.79,/home/ubuntu/snusmart_data/images/cuba-black-forest-berries_77537268105542.jpg
CUBA,CUBA BLACK GRAPE 66MG,https://snusmart.com/products/cuba-black-grape,,"EXTREMELY STRONG, GRAPE",Default Title,5905753347493,3.79,/home/ubuntu/snusmart_data/images/cuba-black-grape_77537112228166.jpg
CUBA,CUBA BLACK PINEAPPLE 66MG,https://snusmart.com/products/cuba-black-pineapple,,"EXTREMELY STRONG, PINEAPPLE",Default Title,5904717759006,3.79,/home/ubuntu/snusmart_data/images/cuba-black-pineapple_77537393475910.jpg
